data;horario;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;mortos
01/01/2021;09:13:00;2 - Acidente com VITIMA;542,6;BR-116/SP;Sul;"Choque - Defensa, barreira ou ""submarino""";
01/01/2021;09:53:00;2 - Acidente com VITIMA;560,5;BR-116/SP;Sul;"Choque - Defensa, barreira ou ""submarino""";
01/01/2021;09:53:00;3 - Acidente com Danos Materiais;552;BR-116/SP;Norte;"Choque - Defensa, barreira ou ""submarino""";
01/01/2021;10:29:00;3 - Acidente com Danos Materiais;317,8;BR-116/SP;Norte;Saida de Pista;
01/01/2021;11:34:00;3 - Acidente com Danos Materiais;6,98;BR-116/PR;Sul;"Choque - Defensa, barreira ou ""submarino""";
01/01/2021;12:06:00;2 - Acidente com VITIMA;541,6;BR-116/SP;Sul;"Choque - Defensa, barreira ou ""submarino""";
01/01/2021;13:40:00;3 - Acidente com Danos Materiais;364;BR-116/SP;Norte;Choque - Outros;
01/01/2021;14:24:00;3 - Acidente com Danos Materiais;348,8;BR-116/SP;Norte;"Choque - Defensa, barreira ou ""submarino""";
01/01/2021;14:29:00;2 - Acidente com VITIMA;16,9;BR-116/PR;Norte;"Choque - Defensa, barreira ou ""submarino""";
01/01/2021;15:18:00;3 - Acidente com Danos Materiais;368;BR-116/SP;Norte;"Choque - Defensa, barreira ou ""submarino""";
01/01/2021;16:10:00;2 - Acidente com VITIMA;458;BR-116/SP;Sul;Capotamento;
01/01/2021;17:39:00;2 - Acidente com VITIMA;303;BR-116/SP;Norte;"Choque - Defensa, barreira ou ""submarino""";
01/01/2021;18:32:00;3 - Acidente com Danos Materiais;451,6;BR-116/SP;Sul;Queda de Moto;
01/01/2021;18:48:00;3 - Acidente com Danos Materiais;339,6;BR-116/SP;Norte;Capotamento;
01/01/2021;18:59:00;3 - Acidente com Danos Materiais;561;BR-116/SP;Sul;"Choque - Defensa, barreira ou ""submarino""";
01/01/2021;19:01:00;3 - Acidente com Danos Materiais;562,4;BR-116/SP;Norte;Saida de Pista;
01/01/2021;19:14:00;2 - Acidente com VITIMA;272;BR-116/SP;Sul;Queda de Moto;
01/01/2021;19:37:00;3 - Acidente com Danos Materiais;567,1;BR-116/SP;Norte;Choque - Talude;
01/01/2021;20:07:00;3 - Acidente com Danos Materiais;287,5;BR-116/SP;Sul;Saida de Pista;
02/01/2021;02:02:00;3 - Acidente com Danos Materiais;545,5;BR-116/SP;Norte;"Choque - Defensa, barreira ou ""submarino""";
02/01/2021;02:06:00;2 - Acidente com VITIMA;537,5;BR-116/SP;Sul;"Choque - Defensa, barreira ou ""submarino""";
02/01/2021;06:01:00;3 - Acidente com Danos Materiais;567,7;BR-116/SP;Norte;Capotamento;
02/01/2021;06:26:00;3 - Acidente com Danos Materiais;339,9;BR-116/SP;Norte;Saida de Pista;
02/01/2021;06:43:00;3 - Acidente com Danos Materiais;16,9;BR-116/PR;Norte;"Choque - Defensa, barreira ou ""submarino""";
02/01/2021;06:55:00;3 - Acidente com Danos Materiais;567,6;BR-116/SP;Norte;Colisão Traseira;
02/01/2021;07:04:00;3 - Acidente com Danos Materiais;15,5;BR-116/PR;Norte;"Choque - Defensa, barreira ou ""submarino""";
02/01/2021;07:18:00;2 - Acidente com VITIMA;545,9;BR-116/SP;Sul;Capotamento;
02/01/2021;07:32:00;3 - Acidente com Danos Materiais;12,5;BR-116/PR;Sul;"Choque - Defensa, barreira ou ""submarino""";
02/01/2021;07:34:00;3 - Acidente com Danos Materiais;550,22;BR-116/SP;Norte;"Choque - Defensa, barreira ou ""submarino""";
02/01/2021;08:08:00;3 - Acidente com Danos Materiais;543;BR-116/SP;Norte;"Choque - Defensa, barreira ou ""submarino""";
02/01/2021;08:22:00;3 - Acidente com Danos Materiais;561,4;BR-116/SP;Norte;Saida de Pista;
02/01/2021;08:43:00;2 - Acidente com VITIMA;550,6;BR-116/SP;Norte;Colisão Lateral;
02/01/2021;08:45:00;3 - Acidente com Danos Materiais;562,6;BR-116/SP;Norte;"Choque - Defensa, barreira ou ""submarino""";
02/01/2021;08:47:00;3 - Acidente com Danos Materiais;504,9;BR-116/SP;Sul;"Choque - Defensa, barreira ou ""submarino""";
02/01/2021;09:01:00;3 - Acidente com Danos Materiais;562,5;BR-116/SP;Sul;Capotamento;
02/01/2021;09:08:00;3 - Acidente com Danos Materiais;560;BR-116/SP;Sul;"Choque - Defensa, barreira ou ""submarino""";
02/01/2021;09:21:00;3 - Acidente com Danos Materiais;17;BR-116/PR;Norte;"Choque - Defensa, barreira ou ""submarino""";
02/01/2021;09:26:00;3 - Acidente com Danos Materiais;513,9;BR-116/SP;Norte;"Choque - Defensa, barreira ou ""submarino""";
02/01/2021;09:28:00;3 - Acidente com Danos Materiais;567;BR-116/SP;Sul;"Choque - Defensa, barreira ou ""submarino""";
02/01/2021;09:34:00;3 - Acidente com Danos Materiais;560,5;BR-116/SP;Sul;"Choque - Defensa, barreira ou ""submarino""";
02/01/2021;09:50:00;3 - Acidente com Danos Materiais;541,6;BR-116/SP;Sul;Colisão Lateral;
02/01/2021;09:58:00;3 - Acidente com Danos Materiais;541,6;BR-116/SP;Sul;Colisão Lateral;
02/01/2021;10:02:00;3 - Acidente com Danos Materiais;550,22;BR-116/SP;Norte;Capotamento;
02/01/2021;10:14:00;3 - Acidente com Danos Materiais;513,1;BR-116/SP;Norte;Queda de Moto;
02/01/2021;10:29:00;2 - Acidente com VITIMA;362,6;BR-116/SP;Sul;Tombamento;
02/01/2021;10:35:00;3 - Acidente com Danos Materiais;512,8;BR-116/SP;Norte;"Choque - Defensa, barreira ou ""submarino""";
02/01/2021;11:01:00;2 - Acidente com VITIMA;520,6;BR-116/SP;Norte;Capotamento;
02/01/2021;11:06:00;3 - Acidente com Danos Materiais;548,6;BR-116/SP;Sul;"Choque - Defensa, barreira ou ""submarino""";
02/01/2021;11:15:00;3 - Acidente com Danos Materiais;546;BR-116/SP;Sul;Saida de Pista;
02/01/2021;11:59:00;3 - Acidente com Danos Materiais;565,1;BR-116/SP;Sul;"Choque - Defensa, barreira ou ""submarino""";
02/01/2021;12:03:00;3 - Acidente com Danos Materiais;522,5;BR-116/SP;Sul;Colisão Traseira;
02/01/2021;12:49:00;3 - Acidente com Danos Materiais;541,6;BR-116/SP;Sul;"Choque - Defensa, barreira ou ""submarino""";
02/01/2021;13:31:00;3 - Acidente com Danos Materiais;567,5;BR-116/SP;Norte;Choque - Poste;
02/01/2021;13:34:00;3 - Acidente com Danos Materiais;519,2;BR-116/SP;Norte;Saida de Pista;
02/01/2021;13:39:00;3 - Acidente com Danos Materiais;428,5;BR-116/SP;Norte;Tombamento;
02/01/2021;13:46:00;3 - Acidente com Danos Materiais;515,4;BR-116/SP;Norte;Capotamento;
02/01/2021;13:47:00;3 - Acidente com Danos Materiais;515,1;BR-116/SP;Norte;Saida de Pista;
02/01/2021;13:59:00;3 - Acidente com Danos Materiais;420,1;BR-116/SP;Sul;Capotamento;
02/01/2021;14:05:00;3 - Acidente com Danos Materiais;489,9;BR-116/SP;Sul;"Choque - Defensa, barreira ou ""submarino""";
02/01/2021;14:07:00;3 - Acidente com Danos Materiais;396;BR-116/SP;Norte;Saida de Pista;
02/01/2021;14:21:00;3 - Acidente com Danos Materiais;489,9;BR-116/SP;Sul;Capotamento;
02/01/2021;14:23:00;3 - Acidente com Danos Materiais;548,6;BR-116/SP;Sul;"Choque - Defensa, barreira ou ""submarino""";
02/01/2021;14:29:00;3 - Acidente com Danos Materiais;503,3;BR-116/SP;Sul;Capotamento;
02/01/2021;14:43:00;3 - Acidente com Danos Materiais;514,2;BR-116/SP;Norte;"Choque - Defensa, barreira ou ""submarino""";
02/01/2021;15:28:00;3 - Acidente com Danos Materiais;511;BR-116/SP;Norte;Saida de Pista;
02/01/2021;15:47:00;3 - Acidente com Danos Materiais;513,5;BR-116/SP;Norte;Saida de Pista;
02/01/2021;16:42:00;3 - Acidente com Danos Materiais;28;BR-116/PR;Norte;"Choque - Defensa, barreira ou ""submarino""";
02/01/2021;17:30:00;3 - Acidente com Danos Materiais;58,9;BR-116/PR;Sul;"Choque - Defensa, barreira ou ""submarino""";
02/01/2021;17:59:00;3 - Acidente com Danos Materiais;546;BR-116/SP;Sul;"Choque - Defensa, barreira ou ""submarino""";
02/01/2021;18:35:00;3 - Acidente com Danos Materiais;503,4;BR-116/SP;Sul;Capotamento;
02/01/2021;18:43:00;3 - Acidente com Danos Materiais;548,7;BR-116/SP;Sul;"Choque - Defensa, barreira ou ""submarino""";
02/01/2021;18:45:00;3 - Acidente com Danos Materiais;339,9;BR-116/SP;Norte;Choque - Talude;
02/01/2021;18:54:00;3 - Acidente com Danos Materiais;548,68;BR-116/SP;Sul;"Choque - Defensa, barreira ou ""submarino""";
02/01/2021;18:58:00;3 - Acidente com Danos Materiais;551,3;BR-116/SP;Sul;"Choque - Defensa, barreira ou ""submarino""";
02/01/2021;19:18:00;3 - Acidente com Danos Materiais;515;BR-116/SP;Norte;Capotamento;
02/01/2021;20:06:00;3 - Acidente com Danos Materiais;549,1;BR-116/SP;Norte;"Choque - Defensa, barreira ou ""submarino""";
02/01/2021;20:16:00;2 - Acidente com VITIMA;489;BR-116/SP;Sul;Capotamento;
02/01/2021;21:08:00;3 - Acidente com Danos Materiais;13,1;BR-116/CW;Sul;"Choque - Defensa, barreira ou ""submarino""";
02/01/2021;23:20:00;2 - Acidente com VITIMA;390,5;BR-116/SP;Norte;Saida de Pista;
02/01/2021;23:54:00;3 - Acidente com Danos Materiais;488,9;BR-116/SP;Sul;"Choque - Defensa, barreira ou ""submarino""";
03/01/2021;01:56:00;3 - Acidente com Danos Materiais;340;BR-116/SP;Norte;Capotamento;
03/01/2021;06:10:00;3 - Acidente com Danos Materiais;489,1;BR-116/SP;Sul;Capotamento;
03/01/2021;06:31:00;2 - Acidente com VITIMA;488,9;BR-116/SP;Sul;Capotamento;
03/01/2021;12:33:00;2 - Acidente com VITIMA;523,4;BR-116/SP;Sul;Queda de Moto;
03/01/2021;13:06:00;3 - Acidente com Danos Materiais;509;BR-116/SP;Sul;"Choque - Defensa, barreira ou ""submarino""";
03/01/2021;13:08:00;3 - Acidente com Danos Materiais;506;BR-116/SP;Norte;Capotamento;
03/01/2021;13:30:00;3 - Acidente com Danos Materiais;509;BR-116/SP;Sul;"Choque - Defensa, barreira ou ""submarino""";
03/01/2021;13:34:00;3 - Acidente com Danos Materiais;470;BR-116/SP;Sul;Saida de Pista;
